pageid	domain	title
10	tr.wikipedia.org	Cengiz Han
22	tr.wikipedia.org	Mustafa Suphi
24	tr.wikipedia.org	Linux
30	tr.wikipedia.org	Bolşevizm
35	tr.wikipedia.org	Karl Marx
37	tr.wikipedia.org	İsmail Bilen (1902 doğumlu siyasetçi)
38	tr.wikipedia.org	GIMP
40	tr.wikipedia.org	Beşiktaş JK
58	tr.wikipedia.org	Kimya
59	tr.wikipedia.org	Edebiyat
64	tr.wikipedia.org	Mühendislik
67	tr.wikipedia.org	Dil
639	tr.wikipedia.org	Biyoloji
640	tr.wikipedia.org	Fizik
646	tr.wikipedia.org	Esperanto
649	tr.wikipedia.org	Qrio
653	tr.wikipedia.org	Oluşturmacılık
658	tr.wikipedia.org	Galatasaray SK
661	tr.wikipedia.org	Basketbol
662	tr.wikipedia.org	Tarım
664	tr.wikipedia.org	Hukuk
670	tr.wikipedia.org	Yoda
672	tr.wikipedia.org	Antik Mısır
676	tr.wikipedia.org	Türkiye
689	tr.wikipedia.org	Tavla
691	tr.wikipedia.org	Mustafa Kemal Atatürk
701	tr.wikipedia.org	Sosyoloji
729	tr.wikipedia.org	Coğrafya
735	tr.wikipedia.org	Astronomi
740	tr.wikipedia.org	Zazaca
760	tr.wikipedia.org	Otomobil
773	tr.wikipedia.org	Spam
795	tr.wikipedia.org	Tatvan
810	tr.wikipedia.org	Mısır tanrıları listesi
816	tr.wikipedia.org	Galatasaray Lisesi
818	tr.wikipedia.org	Uğur Mumcu
824	tr.wikipedia.org	Recep Tayyip Erdoğan
834	tr.wikipedia.org	Fikir Kulüpleri Federasyonu (1965)
869	tr.wikipedia.org	Sayı
894	tr.wikipedia.org	Barış Manço
896	tr.wikipedia.org	Deprem
908	tr.wikipedia.org	Microsoft Windows
914	tr.wikipedia.org	Ontoloji
920	tr.wikipedia.org	Ekoloji
923	tr.wikipedia.org	2004 Amerika Birleşik Devletleri başkanlık seçimleri
927	tr.wikipedia.org	Antropoloji
962	tr.wikipedia.org	İsmet İnönü
967	tr.wikipedia.org	26 Şubat
974	tr.wikipedia.org	Aliağa
975	tr.wikipedia.org	Tunceli (il)
980	tr.wikipedia.org	Güneydoğu Anadolu Bölgesi
985	tr.wikipedia.org	Anıtkabir
