scheme,condition,n_pos,auroc,ci_lo,ci_hi,n_kume,ci_lo_cp,tpr_1fpr,pos_stat_mean,attneg_stat_mean
EXP,clean,96,1.0,0.9999999999999999,1.0,24,0.8826538438450512,1.0,55.882733862293065,0.446090251531489
EXP,dia100,96,0.982638888888889,0.9461588541666667,1.0,24,,0.9166666666666666,6.137799585591014,0.47509726786920686
EXP,dia50,96,1.0,0.9999999999999999,1.0,24,0.8826538438450512,1.0,16.08819045383321,0.4192003017325853
EXP,morph,96,1.0,0.9999999999999999,1.0,24,0.8826538438450512,1.0,53.86965291953195,0.4509323077007959
EXP,morph+dia,96,0.9817708333333335,0.9444444444444445,1.0,24,,0.875,5.9425793098172415,0.4808430380814454
EXP,morph_v1,96,1.0,0.9999999999999999,1.0,24,0.8826538438450512,1.0,52.300576501708235,0.43249047948337527
EXP,morph_v1+dia,96,0.9822048611111112,0.9453016493055556,1.0,24,,0.9166666666666666,5.669307905220028,0.4501646011745133
EXP,rtt,96,0.9557291666666667,0.8962565104166667,0.9982638888888888,24,,0.7916666666666666,4.5215074926229235,0.43003004277818535
EXP,para,96,1.0,0.9999999999999999,1.0,24,0.8826538438450512,1.0,40.42463102905642,0.44629856993178363
EXP,launder,96,0.9969618055555556,0.9904459635416667,1.0,24,,0.9895833333333334,26.836861165860654,0.4681292652472748
EXP,launder_api,96,0.8632812499999999,0.7899278428819445,0.9239393446180555,24,,0.4895833333333333,3.624109971100788,0.5431707828911497
KGW,clean,96,1.0,0.9999999999999999,1.0,24,0.8826538438450512,1.0,10.54993452906441,0.012496278772032169
KGW,dia100,96,0.9939236111111112,0.986111111111111,0.9993516710069446,24,,0.8645833333333334,6.194182284415684,0.2751133452023921
KGW,dia50,96,0.9986979166666666,0.996310763888889,1.0,24,,0.9791666666666666,7.596687682744616,0.011098127059091967
KGW,morph,96,1.0,0.9999999999999999,1.0,24,0.8826538438450512,1.0,10.497853631367063,0.015495669469631934
KGW,morph+dia,96,0.9939236111111112,0.9861111111111112,0.9993516710069444,24,,0.8645833333333334,6.137449883092003,0.24734415551010036
KGW,morph_v1,96,1.0,0.9999999999999999,1.0,24,0.8826538438450512,1.0,10.391848751775896,-0.0026001576347101465
KGW,morph_v1+dia,96,0.9929470486111112,0.9842637803819444,0.9993489583333334,24,,0.84375,5.992157194060057,0.12329978532132503
KGW,rtt,96,0.9541015625,0.9259928385416667,0.9788465711805556,24,,0.59375,3.7376155073309185,0.09228278251324729
KGW,para,96,0.9983723958333333,0.9952256944444444,1.0,24,,0.9895833333333334,8.515710354153354,-0.06420919605242564
KGW,launder,96,0.9985894097222222,0.99609375,1.0,24,,0.9375,7.016081335678099,0.015598401230178896
KGW,launder_api,96,0.9168836805555556,0.8654459635416667,0.9557318793402778,24,,0.4270833333333333,3.1706222618149673,-0.14085013367004776
SynthID,clean,96,1.0,0.9999999999999999,1.0,24,0.8826538438450512,1.0,0.5350636187201853,0.5010441347609783
SynthID,dia100,96,0.9291449652777778,0.8871446397569446,0.9634358723958333,24,,0.6770833333333334,0.5090867685343637,0.5008912972798094
SynthID,dia50,96,0.9956597222222222,0.9893663194444445,0.9993489583333333,24,,0.9479166666666666,0.5163417081102338,0.5007050352007422
SynthID,morph,96,1.0,0.9999999999999999,1.0,24,0.8826538438450512,1.0,0.5346856912117031,0.5010572250350939
SynthID,morph+dia,96,0.9258897569444444,0.8836561414930555,0.9597547743055556,24,,0.65625,0.5089757654212651,0.5009206140593054
SynthID,morph_v1,96,1.0,0.9999999999999999,1.0,24,0.8826538438450512,1.0,0.5338735980591283,0.5009358167649599
SynthID,morph_v1+dia,96,0.9229600694444444,0.8822374131944444,0.9578993055555556,24,,0.65625,0.5087777516477157,0.5009902195203346
SynthID,rtt,96,0.8162977430555557,0.7583468967013889,0.8703911675347222,24,,0.3125,0.5051845225253498,0.5006758204567543
SynthID,para,96,0.9984809027777778,0.9938151041666666,1.0,24,,0.9895833333333334,0.5265945012346124,0.5008867627633794
SynthID,launder,96,0.9807942708333334,0.9553900824652778,0.9973958333333333,24,,0.9479166666666666,0.5186036161636473,0.501077793341644
SynthID,launder_api,96,0.7472873263888888,0.6495144314236112,0.8340928819444444,24,,0.25,0.5042596308541264,0.5001444658969113
